laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
1002,Dell,Inspiron 5567,Notebook,15.6,HD,i7,8,HDD,Dedicated,Windows 10,2.36,749.0
867,Asus,Other,Notebook,15.6,HD,Pentium,4,HDD,Integrated,Windows 10,2.0,449.0
966,Toshiba,Other,Notebook,13.3,Full HD,i5,8,SSD,Integrated,Windows 7,1.2,1460.0
767,Dell,Alienware 17,Gaming,15.6,4K,i7,16,Hybrid,Dedicated,Windows 10,4.42,2868.99
1241,Dell,Other,Ultrabook,12.5,Full HD,i5,8,SSD,Integrated,Windows 7,1.26,1713.37
376,Asus,Other,2 in 1 Convertible,15.6,Full HD,i7,12,Hybrid,Dedicated,Windows 10,2.26,1099.0
60,Asus,Other,Notebook,15.6,Full HD,i3,4,SSD,Integrated,Linux,2.0,415.0
1157,MSI,Other,Gaming,15.6,Full HD,i7,8,Hybrid,Dedicated,Windows 10,2.4,1142.8
110,Asus,Other,Ultrabook,14.0,Full HD,i7,8,SSD,Dedicated,Windows 10,1.3,1193.0
1263,Asus,Other,Gaming,15.6,Full HD,i7,16,Hybrid,Dedicated,Windows 10,2.5,1600.0
1243,Asus,Other,Notebook,15.6,HD,Pentium,4,HDD,Integrated,Windows 10,2.65,309.0
79,Dell,Inspiron 5570,Notebook,15.6,Full HD,i7,8,Hybrid,Integrated,Windows 10,2.02,855.0
957,Toshiba,Other,Notebook,15.6,HD,i5,8,SSD,Integrated,Windows 10,2.2,1119.0
579,HP,Other,Notebook,15.6,Full HD,Other,6,SSD,Dedicated,Windows 10,1.95,649.0
834,Toshiba,Satellite Pro,Notebook,14.0,HD,Pentium,4,SSD,Integrated,Windows 10,1.75,499.0
82,Dell,Other,Ultrabook,15.6,Full HD,i5,8,SSD,Integrated,Windows 10,1.88,1096.16
159,Lenovo,Other,2 in 1 Convertible,14.0,Full HD,i3,4,SSD,Integrated,Windows 10,1.74,629.0
332,Acer,Other,Notebook,15.6,HD,i5,6,HDD,Integrated,Windows 10,2.23,549.0
617,Lenovo,Other,Notebook,15.6,4K,Other,32,SSD,Dedicated,Windows 10,2.5,4899.0
172,Acer,Other,Notebook,17.3,Full HD,i5,8,SSD,Dedicated,Windows 10,3.0,854.0
1097,Lenovo,Other,2 in 1 Convertible,10.1,Other,Other,4,Other,Integrated,Windows 10,0.69,646.27
717,HP,Other,Notebook,17.3,Full HD,Other,6,HDD,Dedicated,Windows 10,2.71,655.01
814,HP,EliteBook 820,Netbook,12.5,HD,i5,8,SSD,Integrated,Windows 10,1.26,1389.0
202,HP,Other,Gaming,17.3,Full HD,i7,16,Hybrid,Dedicated,Windows 10,3.35,1379.0
405,Dell,Other,Workstation,15.6,4K,i7,8,SSD,Dedicated,Windows 10,1.78,2712.0
41,Asus,Other,Notebook,15.6,Full HD,i3,4,HDD,Integrated,Linux,2.0,389.0
741,Acer,Other,Notebook,15.6,HD,i5,4,HDD,Integrated,Windows 10,2.4,559.0
983,Lenovo,Other,Notebook,15.6,Full HD,i5,6,SSD,Dedicated,Windows 10,2.4,695.0
407,Lenovo,Other,Notebook,15.6,HD,Other,4,HDD,Integrated,Windows 10,2.2,306.0
323,HP,Other,Notebook,14.0,Full HD,i5,8,SSD,Integrated,Windows 10,1.95,980.0
166,Dell,Inspiron 3576,Notebook,15.6,Full HD,i5,8,SSD,Dedicated,Windows 10,2.13,728.0
309,Asus,Other,Gaming,15.6,Full HD,i7,8,Hybrid,Dedicated,Windows 10,2.5,1265.0
1276,Lenovo,Other,Notebook,15.6,Full HD,i7,8,Other,Dedicated,Windows 7,2.32,895.0
910,Dell,Vostro 3568,Notebook,15.6,HD,i3,4,HDD,Dedicated,Windows 10,2.18,614.0
919,Acer,Other,Notebook,15.6,Full HD,Other,4,Other,Integrated,Chrome OS,2.2,359.0
1258,Lenovo,Other,Notebook,15.6,Full HD,Other,6,SSD,Dedicated,Windows 10,2.2,597.57
895,Dell,Inspiron 3552,Notebook,15.6,HD,Pentium,4,HDD,Integrated,Windows 10,2.2,369.0
1190,Asus,Other,Notebook,15.6,HD,Other,4,HDD,Integrated,Windows 10,2.2,369.0
37,Acer,Aspire 3,Notebook,15.6,HD,i3,4,HDD,Integrated,Linux,2.1,367.0
333,Asus,Other,Ultrabook,15.6,Full HD,i7,8,SSD,Dedicated,Windows 10,1.7,1049.9
933,MSI,Other,Gaming,15.6,Full HD,i5,8,Hybrid,Dedicated,Windows 10,2.2,1119.91
1066,Dell,Other,2 in 1 Convertible,15.6,Full HD,i5,8,SSD,Integrated,Windows 10,2.3,1094.0
25,HP,Other,Ultrabook,15.6,Full HD,i7,8,SSD,Integrated,Windows 10,1.91,659.0
429,HP,Other,Notebook,15.6,Full HD,i7,8,SSD,Integrated,Windows 10,2.31,1427.0
685,HP,Other,2 in 1 Convertible,11.6,HD,Other,8,Other,Integrated,Chrome OS,1.4,495.0
341,HP,EliteBook 840,Notebook,14.0,Full HD,i5,8,SSD,Integrated,Windows 10,1.48,1268.0
26,Dell,Inspiron 3567,Notebook,15.6,HD,i3,4,HDD,Integrated,Windows 10,2.3,418.64
882,Lenovo,Other,Notebook,15.6,Full HD,i3,4,HDD,Dedicated,No OS,2.2,479.0
7,Apple,MacBook Pro,Ultrabook,15.4,Other,i7,16,Other,Integrated,Mac OS X,2.04,2139.97
1100,HP,EliteBook 840,Notebook,14.0,Full HD,i5,4,HDD,Integrated,Windows 7,1.54,1030.99
